LR999924.1 1 100000 0 
LR999924.1 10900001 11000000 8 21351
LR999924.1 11000001 11100000 5 23588
LR999924.1 11100001 11200000 3 9187
LR999924.1 11200001 11300000 2 3290
LR999924.1 11300001 11400000 4 11632
LR999924.1 11400001 11500000 3 19708
LR999924.1 11500001 11600000 0 
LR999924.1 11600001 11700000 1 11125
LR999924.1 11700001 11800000 5 43365
LR999924.1 11800001 11900000 0 
LR999924.1 11900001 12000000 3 5314
LR999924.1 12000001 12100000 0 
LR999924.1 12100001 12200000 2 4083
LR999924.1 12200001 12300000 1 1506
LR999924.1 12300001 12400000 0 
LR999924.1 12400001 12500000 4 37556
LR999924.1 12500001 12600000 7 36505
LR999924.1 12600001 12700000 3 21573
LR999924.1 12700001 12800000 5 38838
LR999924.1 12800001 12900000 4 33462
LR999924.1 12900001 13000000 1 7083
LR999924.1 13000001 13100000 0 
LR999924.1 13100001 13200000 0 
LR999924.1 13200001 13300000 0 
LR999924.1 13300001 13400000 3 9151
LR999924.1 13400001 13500000 1 22823
LR999924.1 13500001 13600000 2 9495
LR999924.1 13600001 13700000 0 
LR999924.1 13700001 13800000 2 3009
LR999924.1 13800001 13900000 5 19862
LR999924.1 13900001 14000000 0 
LR999924.1 14000001 14100000 1 3640
LR999924.1 14100001 14200000 1 3245
LR999924.1 14200001 14300000 3 13988
LR999924.1 14300001 14400000 2 8205
LR999924.1 14400001 14500000 0 
LR999924.1 14500001 14600000 2 7037
LR999924.1 14600001 14700000 1 10923
LR999924.1 14700001 14800000 5 24697
LR999924.1 14800001 14900000 2 8018
LR999924.1 14900001 15000000 2 10957
LR999924.1 15000001 15100000 6 25394
LR999924.1 15100001 15200000 4 20469
LR999924.1 15200001 15300000 6 36336
LR999924.1 15300001 15400000 5 30267
LR999924.1 15400001 15500000 6 28025
LR999924.1 15500001 15600000 3 25765
LR999924.1 15600001 15700000 1 1508
LR999924.1 15700001 15800000 7 44992
LR999924.1 15800001 15900000 1 7106
LR999924.1 15900001 16000000 2 2487
LR999924.1 16000001 16100000 1 764
LR999924.1 16100001 16200000 0 
LR999924.1 16200001 16300000 6 43173
LR999924.1 16300001 16400000 1 9461
LR999924.1 16400001 16500000 1 15479
LR999924.1 16500001 16600000 1 4413
LR999924.1 16600001 16700000 4 13031
LR999924.1 16700001 16800000 0 
LR999924.1 16800001 16900000 1 7402
LR999924.1 16900001 17000000 5 28169
LR999924.1 17000001 17040296 4 12093
LR999925.1 1 100000 2 3030
LR999925.1 100001 200000 2 9285
LR999925.1 200001 300000 1 314
LR999925.1 300001 400000 1 140
LR999925.1 400001 500000 1 3480
LR999925.1 500001 600000 1 8858
LR999925.1 600001 700000 1 11473
LR999925.1 700001 800000 4 22895
LR999925.1 800001 900000 0 
LR999925.1 900001 1000000 0 
LR999925.1 1000001 1100000 8 38579
LR999925.1 1100001 1200000 2 2560
LR999925.1 1200001 1300000 1 3868
LR999925.1 1300001 1400000 0 
LR999925.1 1400001 1500000 0 
LR999925.1 1500001 1600000 1 3962
LR999925.1 1600001 1700000 0 
LR999925.1 1700001 1800000 5 11549
LR999925.1 1800001 1900000 3 6580
LR999925.1 1900001 2000000 5 26992
LR999925.1 2000001 2100000 5 18128
LR999925.1 2100001 2200000 3 9307
LR999925.1 2200001 2300000 1 389
LR999925.1 2300001 2400000 1 2975
LR999925.1 2400001 2500000 0 
LR999925.1 2500001 2600000 4 19563
LR999925.1 2600001 2700000 4 16916
LR999925.1 2700001 2800000 3 7695
LR999925.1 2800001 2900000 6 31116
LR999925.1 2900001 3000000 4 13838
LR999925.1 3000001 3100000 3 10403
LR999925.1 3100001 3200000 5 23507
LR999925.1 3200001 3300000 3 3796
LR999925.1 3300001 3400000 0 
LR999925.1 3400001 3500000 9 41172
LR999925.1 3500001 3600000 7 32353
LR999925.1 3600001 3700000 1 4902
LR999925.1 3700001 3800000 2 9787
LR999925.1 3800001 3900000 0 
LR999925.1 3900001 4000000 4 23588
LR999925.1 4000001 4100000 3 18692
LR999925.1 4100001 4200000 2 5689
LR999925.1 4200001 4300000 3 11522
LR999925.1 4300001 4400000 7 27282
LR999925.1 4400001 4500000 0 
LR999925.1 4500001 4600000 12 38401
LR999925.1 4600001 4700000 13 41350
LR999925.1 4700001 4800000 7 26325
LR999925.1 4800001 4900000 7 22198
LR999925.1 4900001 5000000 6 16974
LR999925.1 5000001 5100000 6 26388
LR999925.1 5100001 5200000 4 4005
LR999925.1 5200001 5300000 7 17456
LR999925.1 5300001 5400000 10 45623
LR999925.1 5400001 5500000 7 36461
LR999925.1 5500001 5600000 2 17111
LR999925.1 5600001 5700000 7 29671
LR999925.1 5700001 5800000 2 4758
LR999925.1 5800001 5900000 1 3355
LR999925.1 5900001 6000000 1 2453
LR999925.1 6000001 6100000 1 6600
LR999925.1 6100001 6200000 6 32672
LR999925.1 6200001 6300000 7 17573
LR999925.1 6300001 6400000 6 48501
LR999925.1 6400001 6500000 7 33709
LR999925.1 6500001 6600000 9 38782
LR999925.1 6600001 6700000 4 9220
LR999925.1 6700001 6800000 0 
LR999925.1 6800001 6900000 2 4709
LR999925.1 6900001 7000000 1 513
LR999925.1 7000001 7100000 3 18946
LR999925.1 7100001 7200000 1 6505
LR999925.1 7200001 7300000 3 9864
LR999925.1 7300001 7400000 0 
LR999925.1 7400001 7500000 4 7705
LR999925.1 7500001 7600000 4 11645
LR999925.1 7600001 7700000 2 16696
LR999925.1 7700001 7800000 4 12117
LR999925.1 7800001 7900000 2 25476
LR999925.1 7900001 8000000 4 13560
LR999925.1 8000001 8100000 5 16758
LR999925.1 8100001 8200000 4 15981
LR999925.1 8200001 8300000 8 28344
LR999925.1 8300001 8400000 3 3664
LR999925.1 8400001 8500000 0 
LR999925.1 8500001 8600000 6 22094
LR999925.1 8600001 8700000 2 6154
LR999925.1 8700001 8800000 3 3385
LR999925.1 8800001 8900000 9 29467
LR999925.1 8900001 9000000 6 42381
LR999925.1 9000001 9100000 0 
LR999925.1 9100001 9200000 1 4586
LR999925.1 9200001 9300000 3 18804
LR999925.1 9300001 9400000 5 35555
LR999925.1 9400001 9500000 1 645
LR999925.1 9500001 9600000 4 17903
LR999925.1 9600001 9700000 0 
LR999925.1 9700001 9800000 0 
LR999925.1 9800001 9900000 0 
LR999925.1 9900001 10000000 2 8627
LR999925.1 10000001 10100000 1 7255
LR999925.1 10100001 10200000 1 3730
LR999925.1 10200001 10300000 2 14346
LR999925.1 10300001 10400000 0 
LR999925.1 10400001 10500000 7 39966
LR999925.1 10500001 10600000 4 14691
LR999925.1 10600001 10700000 2 4482
LR999925.1 10700001 10800000 3 10638
LR999925.1 10800001 10900000 6 22226
LR999925.1 10900001 11000000 7 22141
LR999925.1 11000001 11100000 6 25298
LR999925.1 11100001 11200000 1 2522
LR999925.1 11200001 11300000 0 
LR999925.1 11300001 11400000 3 10179
LR999925.1 11400001 11500000 0 
LR999925.1 11500001 11600000 7 43340
LR999925.1 11600001 11700000 7 42316
LR999925.1 11700001 11800000 8 31806
LR999925.1 11800001 11900000 7 25870
LR999925.1 11900001 12000000 1 1730
LR999925.1 12000001 12100000 0 
LR999925.1 12100001 12200000 1 3159
LR999925.1 12200001 12300000 0 
LR999925.1 12300001 12400000 3 16377
LR999925.1 12400001 12500000 0 
LR999925.1 12500001 12600000 0 
LR999925.1 12600001 12700000 1 5638
LR999925.1 12700001 12800000 2 6370
LR999925.1 12800001 12900000 12 61557
LR999925.1 12900001 13000000 8 33858
LR999925.1 13000001 13100000 7 19775
LR999925.1 13100001 13200000 2 6964
LR999925.1 13200001 13300000 1 4618
LR999925.1 13300001 13400000 1 2049
LR999925.1 13400001 13500000 1 2971
LR999925.1 13500001 13600000 1 1861
LR999925.1 13600001 13700000 1 3373
LR999925.1 13700001 13800000 1 9079
LR999925.1 13800001 13900000 1 608
LR999925.1 13900001 14000000 1 2487
LR999925.1 14000001 14100000 8 22686
LR999925.1 14100001 14200000 5 12328
LR999925.1 14200001 14300000 4 7654
LR999925.1 14300001 14400000 6 31399
LR999925.1 14400001 14500000 6 24778
LR999925.1 14500001 14600000 4 17174
LR999925.1 14600001 14700000 5 15482
LR999925.1 14700001 14800000 1 1544
LR999925.1 14800001 14900000 4 7054
LR999925.1 14900001 15000000 19 68755
LR999925.1 15000001 15100000 8 30919
LR999925.1 15100001 15200000 5 21707
LR999925.1 15200001 15300000 2 1610
LR999925.1 15300001 15400000 2 4740
LR999925.1 15400001 15500000 1 8945
LR999925.1 15500001 15600000 6 20019
LR999925.1 15600001 15700000 5 31127
LR999925.1 15700001 15800000 4 18243
LR999925.1 15800001 15900000 0 
LR999925.1 15900001 16000000 6 34332
LR999925.1 16000001 16100000 4 13282
LR999925.1 16100001 16200000 0 
LR999925.1 16200001 16300000 0 
LR999925.1 16300001 16400000 0 
LR999925.1 16400001 16500000 0 
LR999925.1 16500001 16600000 11 28852
LR999925.1 16600001 16607008 0 
LR999926.1 1 100000 0 
LR999926.1 100001 200000 0 
LR999926.1 200001 300000 13 24587
LR999926.1 300001 400000 2 10179
LR999926.1 400001 500000 7 10732
LR999926.1 500001 600000 1 2451
LR999926.1 600001 700000 2 4903
LR999926.1 700001 800000 7 26192
LR999926.1 800001 900000 0 
LR999926.1 900001 1000000 3 10162
LR999926.1 1000001 1100000 2 9377
LR999926.1 1100001 1200000 7 34841
LR999926.1 1200001 1300000 11 46161
LR999926.1 1300001 1400000 13 51391
LR999926.1 1400001 1500000 8 55066
LR999926.1 1500001 1600000 1 2113
LR999926.1 1600001 1700000 1 903
LR999926.1 1700001 1800000 3 9832
LR999926.1 1800001 1900000 0 
LR999926.1 1900001 2000000 4 10798
LR999926.1 2000001 2100000 3 21739
LR999926.1 2100001 2200000 0 
LR999926.1 2200001 2300000 1 2027
LR999926.1 2300001 2400000 1 3715
LR999926.1 2400001 2500000 1 1891
LR999926.1 2500001 2600000 1 12327
LR999926.1 2600001 2700000 3 12539
LR999926.1 2700001 2800000 2 7947
LR999926.1 2800001 2900000 0 
LR999926.1 2900001 3000000 2 3875
LR999926.1 3000001 3100000 0 
LR999926.1 3100001 3200000 7 24085
LR999926.1 3200001 3300000 3 16188
LR999926.1 3300001 3400000 1 10439
LR999926.1 3400001 3500000 4 21191
LR999926.1 3500001 3600000 8 24679
LR999926.1 3600001 3700000 5 31935
LR999926.1 3700001 3800000 5 28111
LR999926.1 3800001 3900000 1 702
LR999926.1 3900001 4000000 0 
LR999926.1 4000001 4100000 9 40066
LR999926.1 4100001 4200000 7 20894
LR999926.1 4200001 4300000 1 1310
LR999926.1 4300001 4400000 4 8952
LR999926.1 4400001 4500000 4 11283
LR999926.1 4500001 4600000 0 
LR999926.1 4600001 4700000 11 21168
LR999926.1 4700001 4800000 4 15100
LR999926.1 4800001 4900000 1 1665
LR999926.1 4900001 5000000 13 37150
LR999926.1 5000001 5100000 6 40512
LR999926.1 5100001 5200000 4 25056
LR999926.1 5200001 5300000 1 10271
LR999926.1 5300001 5400000 5 17048
LR999926.1 5400001 5500000 2 31859
LR999926.1 5500001 5600000 2 9281
LR999926.1 5600001 5700000 9 17525
LR999926.1 5700001 5800000 4 14346
LR999926.1 5800001 5900000 1 5417
LR999926.1 5900001 6000000 0 
LR999926.1 6000001 6100000 2 7969
LR999926.1 6100001 6200000 2 2908
LR999926.1 6200001 6300000 0 
LR999926.1 6300001 6400000 5 13806
LR999926.1 6400001 6500000 10 49234
LR999926.1 6500001 6600000 4 16166
LR999926.1 6600001 6700000 0 
LR999926.1 6700001 6800000 0 
LR999926.1 6800001 6900000 0 
LR999926.1 6900001 7000000 7 27121
LR999926.1 7000001 7100000 10 35853
LR999926.1 7100001 7200000 8 33598
LR999926.1 7200001 7300000 1 8320
LR999926.1 7300001 7400000 6 19161
LR999926.1 7400001 7500000 3 27091
LR999926.1 7500001 7600000 5 26476
LR999926.1 7600001 7700000 0 
LR999926.1 7700001 7800000 5 19688
LR999926.1 7800001 7900000 6 44128
LR999926.1 7900001 8000000 12 27429
LR999926.1 8000001 8100000 10 43388
LR999926.1 8100001 8200000 3 14535
LR999926.1 8200001 8300000 8 26384
LR999926.1 8300001 8400000 5 45673
LR999926.1 8400001 8500000 5 27021
LR999926.1 8500001 8600000 3 4424
LR999926.1 8600001 8700000 4 16768
LR999926.1 8700001 8800000 4 5468
LR999926.1 8800001 8900000 1 3422
LR999926.1 8900001 9000000 0 
LR999926.1 9000001 9100000 1 4348
LR999926.1 9100001 9200000 4 16686
LR999926.1 9200001 9300000 8 32585
LR999926.1 9300001 9400000 10 35837
LR999926.1 9400001 9500000 7 32365
LR999926.1 9500001 9600000 7 27464
LR999926.1 9600001 9700000 15 31595
LR999926.1 9700001 9800000 7 24386
LR999926.1 9800001 9900000 1 1292
LR999926.1 9900001 10000000 8 30975
LR999926.1 10000001 10100000 8 23461
LR999926.1 10100001 10200000 9 34925
LR999926.1 10200001 10300000 12 17570
LR999926.1 10300001 10400000 5 16611
LR999926.1 10400001 10500000 1 19925
LR999926.1 10500001 10600000 3 12346
LR999926.1 10600001 10700000 5 23216
LR999926.1 10700001 10800000 2 6065
LR999926.1 10800001 10900000 4 14979
LR999926.1 10900001 11000000 12 44277
LR999926.1 11000001 11100000 7 20561
LR999926.1 11100001 11200000 0 
LR999926.1 11200001 11300000 1 7281
LR999926.1 11300001 11400000 4 14999
LR999926.1 11400001 11500000 8 44310
LR999926.1 11500001 11600000 6 33227
LR999926.1 11600001 11700000 0 
LR999926.1 11700001 11800000 10 27116
LR999926.1 11800001 11900000 2 12072
LR999926.1 11900001 12000000 0 
LR999926.1 12000001 12100000 1 5836
LR999926.1 12100001 12200000 1 7914
LR999926.1 12200001 12300000 0 
LR999926.1 12300001 12400000 2 15241
LR999926.1 12400001 12500000 1 4952
LR999926.1 12500001 12600000 1 551
LR999926.1 12600001 12700000 0 
LR999926.1 12700001 12800000 1 1946
LR999926.1 12800001 12900000 0 
LR999926.1 12900001 13000000 12 66557
LR999926.1 13000001 13100000 4 9900
LR999926.1 13100001 13200000 6 49144
LR999926.1 13200001 13300000 8 41186
LR999926.1 13300001 13400000 4 31846
LR999926.1 13400001 13500000 5 8247
LR999926.1 13500001 13600000 0 
LR999926.1 13600001 13700000 6 24151
LR999926.1 13700001 13800000 2 13908
LR999926.1 13800001 13900000 0 
LR999926.1 13900001 14000000 1 8086
LR999926.1 14000001 14100000 0 
LR999926.1 14100001 14200000 3 10033
LR999926.1 14200001 14300000 0 
LR999926.1 14300001 14400000 1 8202
LR999926.1 14400001 14500000 0 
LR999926.1 14500001 14600000 0 
LR999926.1 14600001 14700000 1 1394
LR999926.1 14700001 14800000 0 
LR999926.1 14800001 14900000 0 
LR999926.1 14900001 15000000 0 
LR999926.1 15000001 15100000 0 
LR999926.1 15100001 15200000 0 
LR999926.1 15200001 15300000 0 
LR999926.1 15300001 15400000 0 
LR999926.1 15400001 15500000 1 491
LR999926.1 15500001 15600000 1 7364
LR999926.1 15600001 15700000 0 
LR999926.1 15700001 15800000 0 
LR999926.1 15800001 15900000 2 19059
LR999926.1 15900001 16000000 0 
LR999926.1 16000001 16100000 1 1696
LR999926.1 16100001 16200000 4 13405
LR999926.1 16200001 16300000 5 14328
LR999926.1 16300001 16362069 3 11209
LR999927.1 1 100000 0 
LR999927.1 100001 200000 1 6998
LR999927.1 200001 300000 6 18001
LR999927.1 300001 400000 8 31390
LR999927.1 400001 500000 7 18937
LR999927.1 500001 600000 0 
LR999927.1 600001 700000 0 
LR999927.1 700001 800000 7 33455
LR999927.1 800001 900000 7 39819
LR999927.1 900001 1000000 1 4549
LR999927.1 1000001 1100000 3 5728
LR999927.1 1100001 1200000 3 17657
LR999927.1 1200001 1300000 1 9650
LR999927.1 1300001 1400000 1 545
LR999927.1 1400001 1500000 13 26808
LR999927.1 1500001 1600000 2 5957
LR999927.1 1600001 1700000 0 
LR999927.1 1700001 1800000 7 41801
LR999927.1 1800001 1900000 4 6909
LR999927.1 1900001 2000000 0 
LR999927.1 2000001 2100000 0 
LR999927.1 2100001 2200000 3 28609
LR999927.1 2200001 2300000 0 
LR999927.1 2300001 2400000 7 54433
LR999927.1 2400001 2500000 5 18868
LR999927.1 2500001 2600000 2 15309
LR999927.1 2600001 2700000 6 34665
LR999927.1 2700001 2800000 1 6628
LR999927.1 2800001 2900000 0 
LR999927.1 2900001 3000000 4 52215
LR999927.1 3000001 3100000 3 15561
LR999927.1 3100001 3200000 5 16999
LR999927.1 3200001 3300000 1 6365
LR999927.1 3300001 3400000 0 
LR999927.1 3400001 3500000 3 4530
LR999927.1 3500001 3600000 1 907
LR999927.1 3600001 3700000 2 6504
LR999927.1 3700001 3800000 0 
LR999927.1 3800001 3900000 1 416
LR999927.1 3900001 4000000 1 3669
LR999927.1 4000001 4100000 2 5036
LR999927.1 4100001 4200000 2 1248
LR999927.1 4200001 4300000 1 2653
LR999927.1 4300001 4400000 3 2731
LR999927.1 4400001 4500000 4 13106
LR999927.1 4500001 4600000 0 
LR999927.1 4600001 4700000 1 1774
LR999927.1 4700001 4800000 3 6364
LR999927.1 4800001 4900000 0 
LR999927.1 4900001 5000000 11 29576
LR999927.1 5000001 5100000 2 2674
LR999927.1 5100001 5200000 6 10004
LR999927.1 5200001 5300000 6 23112
LR999927.1 5300001 5400000 3 8074
LR999927.1 5400001 5500000 1 6015
LR999927.1 5500001 5600000 5 27117
LR999927.1 5600001 5700000 3 20528
LR999927.1 5700001 5800000 13 47310
LR999927.1 5800001 5900000 2 12538
LR999927.1 5900001 6000000 1 1620
LR999927.1 6000001 6100000 0 
LR999927.1 6100001 6200000 6 16730
LR999927.1 6200001 6300000 1 1564
LR999927.1 6300001 6400000 3 12985
LR999927.1 6400001 6500000 5 13123
LR999927.1 6500001 6600000 1 7904
LR999927.1 6600001 6700000 1 11288
LR999927.1 6700001 6800000 2 5471
LR999927.1 6800001 6900000 0 
LR999927.1 6900001 7000000 11 43240
LR999927.1 7000001 7100000 1 2375
LR999927.1 7100001 7200000 4 5695
LR999927.1 7200001 7300000 1 1061
LR999927.1 7300001 7400000 2 8073
LR999927.1 7400001 7500000 8 26542
LR999927.1 7500001 7600000 0 
LR999927.1 7600001 7700000 2 9126
LR999927.1 7700001 7800000 1 16706
LR999927.1 7800001 7900000 2 3503
LR999927.1 7900001 8000000 1 8958
LR999927.1 8000001 8100000 0 
LR999927.1 8100001 8200000 1 8734
LR999927.1 8200001 8300000 0 
LR999927.1 8300001 8400000 7 31977
LR999927.1 8400001 8500000 6 33109
LR999927.1 8500001 8600000 2 17471
LR999927.1 8600001 8700000 0 
LR999927.1 8700001 8800000 0 
LR999927.1 8800001 8900000 1 911
LR999927.1 8900001 9000000 2 8062
LR999927.1 9000001 9100000 5 5995
LR999927.1 9100001 9200000 5 29900
LR999927.1 9200001 9300000 6 15269
LR999927.1 9300001 9400000 1 3047
LR999927.1 9400001 9500000 2 6959
LR999927.1 9500001 9600000 0 
LR999927.1 9600001 9700000 0 
LR999927.1 9700001 9800000 4 6087
LR999927.1 9800001 9900000 6 15629
LR999927.1 9900001 10000000 4 16047
LR999927.1 10000001 10100000 9 29124
LR999927.1 10100001 10200000 0 
LR999927.1 10200001 10300000 4 18624
LR999927.1 10300001 10400000 1 1431
LR999927.1 10400001 10500000 3 14621
LR999927.1 10500001 10600000 0 
LR999927.1 10600001 10700000 3 3771
LR999927.1 10700001 10800000 0 
LR999927.1 10800001 10900000 0 
LR999927.1 10900001 11000000 1 1796
LR999927.1 11000001 11100000 1 1436
LR999927.1 11100001 11200000 0 
LR999927.1 11200001 11300000 5 11379
LR999927.1 11300001 11400000 3 26543
LR999927.1 11400001 11500000 1 3655
LR999927.1 11500001 11600000 2 7293
LR999927.1 11600001 11700000 0 
LR999927.1 11700001 11800000 0 
LR999927.1 11800001 11900000 0 
LR999927.1 11900001 12000000 0 
LR999927.1 12000001 12100000 0 
LR999927.1 12100001 12200000 1 2799
LR999927.1 12200001 12300000 2 8275
LR999927.1 12300001 12400000 0 
LR999927.1 12400001 12500000 3 11350
LR999927.1 12500001 12600000 1 8934
LR999927.1 12600001 12700000 0 
LR999927.1 12700001 12800000 0 
LR999927.1 12800001 12900000 0 
LR999927.1 12900001 13000000 0 
LR999927.1 13000001 13100000 1 920
LR999927.1 13100001 13200000 0 
LR999927.1 13200001 13300000 0 
LR999927.1 13300001 13400000 0 
LR999927.1 13400001 13500000 0 
LR999927.1 13500001 13600000 0 
LR999927.1 13600001 13700000 0 
LR999927.1 13700001 13800000 2 6027
LR999927.1 13800001 13900000 0 
LR999927.1 13900001 14000000 0 
LR999927.1 14000001 14100000 0 
LR999927.1 14100001 14200000 14 51846
LR999927.1 14200001 14300000 5 36518
LR999927.1 14300001 14400000 0 
LR999927.1 14400001 14500000 1 4027
LR999927.1 14500001 14600000 0 
LR999927.1 14600001 14700000 0 
LR999927.1 14700001 14800000 2 39636
LR999927.1 14800001 14900000 0 
LR999927.1 14900001 15000000 0 
LR999927.1 15000001 15100000 8 47814
LR999927.1 15100001 15200000 5 36349
LR999927.1 15200001 15300000 0 
LR999927.1 15300001 15400000 0 
LR999927.1 15400001 15500000 0 
LR999927.1 15500001 15600000 4 21396
LR999927.1 15600001 15700000 3 13927
LR999927.1 15700001 15800000 7 11491
LR999927.1 15800001 15900000 6 40517
LR999927.1 15900001 16000000 9 42881
LR999927.1 16000001 16090551 9 24738
LR999928.1 1 100000 0 
LR999928.1 100001 200000 0 
LR999928.1 200001 300000 0 
LR999928.1 300001 400000 0 
LR999928.1 400001 500000 0 
LR999928.1 500001 600000 4 7089
LR999928.1 600001 700000 4 14020
LR999928.1 700001 800000 1 785
LR999928.1 800001 900000 1 8688
LR999928.1 900001 1000000 6 19294
LR999928.1 1000001 1100000 5 36662
LR999928.1 1100001 1200000 5 31724
LR999928.1 1200001 1300000 2 10348
LR999928.1 1300001 1400000 0 
LR999928.1 1400001 1500000 3 12382
LR999928.1 1500001 1600000 2 12412
LR999928.1 1600001 1700000 1 14347
LR999928.1 1700001 1800000 0 
LR999928.1 1800001 1900000 4 20345
LR999928.1 1900001 2000000 3 20118
LR999928.1 2000001 2100000 1 14974
LR999928.1 2100001 2200000 3 3941
LR999928.1 2200001 2300000 2 9609
LR999928.1 2300001 2400000 0 
LR999928.1 2400001 2500000 2 5712
LR999928.1 2500001 2600000 2 16913
LR999928.1 2600001 2700000 2 5965
LR999928.1 2700001 2800000 2 9612
LR999928.1 2800001 2900000 0 
LR999928.1 2900001 3000000 0 
LR999928.1 3000001 3100000 0 
LR999928.1 3100001 3200000 10 31351
LR999928.1 3200001 3300000 5 32375
LR999928.1 3300001 3400000 0 
LR999928.1 3400001 3500000 1 16089
LR999928.1 3500001 3600000 0 
LR999928.1 3600001 3700000 1 3478
LR999928.1 3700001 3800000 1 2535
LR999928.1 3800001 3900000 0 
LR999928.1 3900001 4000000 0 
LR999928.1 4000001 4100000 1 13147
LR999928.1 4100001 4200000 0 
LR999928.1 4200001 4300000 0 
LR999928.1 4300001 4400000 2 6553
LR999928.1 4400001 4500000 8 14372
LR999928.1 4500001 4600000 4 13777
LR999928.1 4600001 4700000 1 3536
LR999928.1 4700001 4800000 1 3893
LR999928.1 4800001 4900000 2 24647
LR999928.1 4900001 5000000 3 4946
LR999928.1 5000001 5100000 3 10204
LR999928.1 5100001 5200000 9 58072
LR999928.1 5200001 5300000 6 20272
LR999928.1 5300001 5400000 5 31523
LR999928.1 5400001 5500000 0 
LR999928.1 5500001 5600000 0 
LR999928.1 5600001 5700000 1 982
LR999928.1 5700001 5800000 0 
LR999928.1 5800001 5900000 3 13504
