"GO.ID" "Term" "Annotated" "Significant" "Expected" "weight01Fisher" "classicFisher" "p_adj" "GO_class" "genes"
"29" "GO:0035060" "brahma complex" 12 1 0.03 0.02697 "0.02697" 1 "CC" "Vcard_DToL17516-RA"
"30" "GO:0044216" "other organism cell" 14 1 0.03 0.0314 "0.03140" 1 "CC" "Vcard_DToL13326-RA"
"31" "GO:0005788" "endoplasmic reticulum lumen" 129 2 0.29 0.03401 "0.03401" 1 "CC" "Vcard_DToL02450-RA,Vcard_DToL02453-RA"
"32" "GO:0035267" "NuA4 histone acetyltransferase complex" 22 1 0.05 0.04892 "0.04892" 1 "CC" "Vcard_DToL17516-RA"
"33" "GO:0005923" "bicellular tight junction" 39 1 0.09 0.08516 "0.08516" 1 "CC" "Vcard_DToL00029-RA"
"34" "GO:0043231" "intracellular membrane-bounded organelle" 5426 17 12.34 0.08919 "0.01029" 1 "CC" "Vcard_DToL00029-RA,Vcard_DToL00546-RA,Vcard_DToL02450-RA,Vcard_DToL02453-RA,Vcard_DToL04931-RA,Vcard_DToL07113-RA,Vcard_DToL07619-RA,Vcard_DToL09167-RA,Vcard_DToL09597-RA,Vcard_DToL10624-RA,Vcard_DToL12785-RA,Vcard_DToL13326-RA,Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA,Vcard_DToL17516-RA"
"35" "GO:0005886" "plasma membrane" 2123 12 4.83 0.09283 "0.00046" 1 "CC" "Vcard_DToL00029-RA,Vcard_DToL00546-RA,Vcard_DToL04931-RA,Vcard_DToL07113-RA,Vcard_DToL07619-RA,Vcard_DToL09597-RA,Vcard_DToL13326-RA,Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA,Vcard_DToL17516-RA"
"36" "GO:0043198" "dendritic shaft" 46 1 0.1 0.0997 "0.09970" 1 "CC" "Vcard_DToL04931-RA"
"37" "GO:0005654" "nucleoplasm" 2091 8 4.76 0.09997 "0.07560" 1 "CC" "Vcard_DToL09597-RA,Vcard_DToL10624-RA,Vcard_DToL12785-RA,Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA,Vcard_DToL17516-RA"
"38" "GO:0005643" "nuclear pore" 63 1 0.14 0.13411 "0.13411" 1 "CC" "Vcard_DToL13326-RA"
"39" "GO:0005901" "caveola" 65 1 0.15 0.13808 "0.13808" 1 "CC" "Vcard_DToL00029-RA"
"40" "GO:0016021" "integral component of membrane" 1371 4 3.12 0.19748 "0.38112" 1 "CC" "Vcard_DToL00029-RA,Vcard_DToL00546-RA,Vcard_DToL07113-RA,Vcard_DToL07619-RA"
"41" "GO:0043195" "terminal bouton" 114 1 0.26 0.23004 "0.23004" 1 "CC" "Vcard_DToL04931-RA"
"42" "GO:0005856" "cytoskeleton" 1044 6 2.37 0.23368 "0.02359" 1 "CC" "Vcard_DToL09597-RA,Vcard_DToL13326-RA,Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"43" "GO:0009898" "cytoplasmic side of plasma membrane" 118 1 0.27 0.23713 "0.23713" 1 "CC" "Vcard_DToL09597-RA"
"44" "GO:0005795" "Golgi stack" 118 1 0.27 0.23713 "0.23713" 1 "CC" "Vcard_DToL04931-RA"
"45" "GO:0014069" "postsynaptic density" 171 5 0.39 0.24514 "3.0e-05" 1 "CC" "Vcard_DToL04931-RA,Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"46" "GO:0030496" "midbody" 123 1 0.28 0.2459 "0.24590" 1 "CC" "Vcard_DToL04931-RA"
"47" "GO:0005615" "extracellular space" 465 2 1.06 0.28592 "0.28592" 1 "CC" "Vcard_DToL02450-RA,Vcard_DToL02453-RA"
"48" "GO:0005802" "trans-Golgi network" 159 1 0.36 0.30627 "0.30627" 1 "CC" "Vcard_DToL13326-RA"
"49" "GO:0008021" "synaptic vesicle" 165 1 0.38 0.31588 "0.31588" 1 "CC" "Vcard_DToL07619-RA"
"50" "GO:0016323" "basolateral plasma membrane" 181 1 0.41 0.34088 "0.34088" 1 "CC" "Vcard_DToL00029-RA"
