"GO.ID" "Term" "Annotated" "Significant" "Expected" "weight01Fisher" "classicFisher" "p_adj" "GO_class" "genes"
"38" "GO:0040013" "negative regulation of locomotion" 172 4 0.36 1.5e-05 "0.00037" 0.00568934210526316 "BP" "Vcard_DToL00029-RA,Vcard_DToL00546-RA,Vcard_DToL07113-RA,Vcard_DToL07619-RA"
"39" "GO:0050832" "defense response to fungus" 85 4 0.18 2.4e-05 "2.4e-05" 0.00886953846153846 "BP" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"40" "GO:0015986" "ATP synthesis coupled proton transport" 30 3 0.06 3e-05 "3.0e-05" 0.01080975 "BP" "Vcard_DToL00546-RA,Vcard_DToL07113-RA,Vcard_DToL07619-RA"
"41" "GO:0071901" "negative regulation of protein serine/threonine kinase activity" 91 4 0.19 3.1e-05 "3.1e-05" 0.0108976341463415 "BP" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"42" "GO:0043488" "regulation of mRNA stability" 93 4 0.19 3.4e-05 "3.4e-05" 0.0116676666666667 "BP" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"43" "GO:0007525" "somatic muscle development" 102 4 0.21 4.9e-05 "4.9e-05" 0.0156941555555556 "BP" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"44" "GO:0031109" "microtubule polymerization or depolymerization" 102 4 0.21 4.9e-05 "4.9e-05" 0.0156941555555556 "BP" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"45" "GO:0043068" "positive regulation of programmed cell death" 429 4 0.9 4.9e-05 "0.01046" 0.0156941555555556 "BP" "Vcard_DToL00029-RA,Vcard_DToL00546-RA,Vcard_DToL07113-RA,Vcard_DToL07619-RA"
"46" "GO:0032355" "response to estradiol" 107 4 0.22 5.9e-05 "5.9e-05" 0.0184862391304348 "BP" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"47" "GO:0071229" "cellular response to acid chemical" 128 4 0.27 0.00012 "0.00012" 0.0360325 "BP" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"48" "GO:0009615" "response to virus" 128 4 0.27 0.00012 "0.00012" 0.0360325 "BP" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"49" "GO:0006986" "response to unfolded protein" 130 4 0.27 0.00013 "0.00013" 0.0374738 "BP" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"50" "GO:0071236" "cellular response to antibiotic" 131 4 0.27 0.00013 "0.00013" 0.0374738 "BP" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
