"" "GO.ID" "Term" "Annotated" "Significant" "Expected" "weight01Fisher" "classicFisher" "p_adj" "GO_class"
"24" "GO:0051603" "proteolysis involved in cellular protein..." 489 15 1.62 3.5e-12 "3.5e-12" 2.10189583333333e-09 "BP"
"25" "GO:0071230" "cellular response to amino acid stimulus" 56 8 0.19 6e-12 "6.0e-12" 3.45912e-09 "BP"
"26" "GO:0051092" "positive regulation of NF-kappaB transcr..." 63 8 0.21 1.6e-11 "1.6e-11" 8.86953846153846e-09 "BP"
"27" "GO:0051961" "negative regulation of nervous system de..." 340 10 1.13 1.7e-11 "6.3e-08" 9.07485185185185e-09 "BP"
"28" "GO:0043122" "regulation of I-kappaB kinase/NF-kappaB ..." 68 8 0.23 3e-11 "3.0e-11" 1.54425e-08 "BP"
"29" "GO:0001824" "blastocyst development" 69 8 0.23 3.4e-11 "3.4e-11" 1.6898e-08 "BP"
"30" "GO:0016322" "neuron remodeling" 77 8 0.26 8.5e-11 "8.5e-11" 4.08368333333333e-08 "BP"
"31" "GO:0007520" "myoblast fusion" 82 8 0.27 1.4e-10 "1.4e-10" 6.50909677419355e-08 "BP"
"32" "GO:0050790" "regulation of catalytic activity" 1181 12 3.92 1.6e-10 "0.00017" 7.2065e-08 "BP"
"33" "GO:0050832" "defense response to fungus" 85 8 0.28 1.9e-10 "1.9e-10" 8.29839393939394e-08 "BP"
"34" "GO:0045214" "sarcomere organization" 91 8 0.3 3.3e-10 "3.3e-10" 1.39890882352941e-07 "BP"
"35" "GO:0001666" "response to hypoxia" 291 11 0.97 7.9e-10 "7.9e-10" 3.25322e-07 "BP"
"36" "GO:0007586" "digestion" 103 8 0.34 9.1e-10 "9.1e-10" 3.64328611111111e-07 "BP"
"37" "GO:0007298" "border follicle cell migration" 143 8 0.47 1.2e-08 "1.2e-08" 4.67448648648649e-06 "BP"
"38" "GO:0016241" "regulation of macroautophagy" 144 8 0.48 1.3e-08 "1.3e-08" 4.93076315789474e-06 "BP"
"39" "GO:0051493" "regulation of cytoskeleton organization" 387 10 1.28 1.6e-08 "2.1e-07" 5.91302564102564e-06 "BP"
"40" "GO:0072657" "protein localization to membrane" 393 10 1.3 9.3e-08 "2.5e-07" 3.3510225e-05 "BP"
"41" "GO:0045893" "positive regulation of transcription, DN..." 884 9 2.93 1.4e-07 "0.00154" 4.92151219512195e-05 "BP"
"42" "GO:0042335" "cuticle development" 198 8 0.66 1.6e-07 "1.6e-07" 5.49066666666667e-05 "BP"
"43" "GO:0051260" "protein homooligomerization" 199 8 0.66 1.7e-07 "1.7e-07" 5.69816279069767e-05 "BP"
"44" "GO:0043312" "neutrophil degranulation" 246 8 0.82 8.4e-07 "8.4e-07" 0.000275157272727273 "BP"
"45" "GO:0045862" "positive regulation of proteolysis" 250 8 0.83 9.5e-07 "9.5e-07" 0.000304274444444444 "BP"
"46" "GO:0008340" "determination of adult lifespan" 310 8 1.03 4.8e-06 "4.8e-06" 0.0015039652173913 "BP"
"47" "GO:1905167" "positive regulation of lysosomal protein..." 2 2 0.01 1.1e-05 "1.1e-05" 0.00337325531914894 "BP"
"48" "GO:0002066" "columnar/cuboidal epithelial cell develo..." 356 8 1.18 1.3e-05 "1.3e-05" 0.00390352083333333 "BP"
"49" "GO:0043066" "negative regulation of apoptotic process" 544 10 1.8 2.9e-05 "4.9e-06" 0.00853014285714286 "BP"
"50" "GO:2000587" "negative regulation of platelet-derived ..." 3 2 0.01 3.2e-05 "3.2e-05" 0.00922432 "BP"
"51" "GO:0008284" "positive regulation of cell population p..." 459 9 1.52 4e-05 "1.0e-05" 0.0113043137254902 "BP"
"52" "GO:0040013" "negative regulation of locomotion" 172 5 0.57 5.9e-05 "0.00022" 0.0163532115384615 "BP"
"53" "GO:0007271" "synaptic transmission, cholinergic" 74 4 0.25 9.4e-05 "9.4e-05" 0.025562679245283 "BP"
"54" "GO:0015986" "ATP synthesis coupled proton transport" 30 3 0.1 0.00012 "0.00012" 0.0320288888888889 "BP"
"55" "GO:0008203" "cholesterol metabolic process" 97 5 0.32 0.00015 "1.4e-05" 0.0393081818181818 "BP"
"56" "GO:0002265" "astrocyte activation involved in immune ..." 6 2 0.02 0.00016 "0.00016" 0.0404575438596491 "BP"
"57" "GO:1900223" "positive regulation of amyloid-beta clea..." 6 2 0.02 0.00016 "0.00016" 0.0404575438596491 "BP"
"58" "GO:0042718" "yolk granule" 9 7 0.04 3.1e-16 "3.1e-16" 5.4312e-13 "CC"
"59" "GO:0031143" "pseudopodium" 19 8 0.08 2e-15 "2.0e-15" 1.752e-12 "CC"
"60" "GO:0005576" "extracellular region" 961 25 3.89 1.9e-14 "1.4e-17" 1.1096e-11 "CC"
"61" "GO:0005764" "lysosome" 308 15 1.25 1.6e-13 "1.6e-13" 7.008e-11 "CC"
"62" "GO:0097038" "perinuclear endoplasmic reticulum" 33 8 0.13 3.6e-13 "3.6e-13" 1.26144e-10 "CC"
"63" "GO:0030315" "T-tubule" 42 8 0.17 3e-12 "3.0e-12" 8.76e-10 "CC"
"64" "GO:0030864" "cortical actin cytoskeleton" 58 8 0.23 4.6e-11 "4.6e-11" 1.15131428571429e-08 "CC"
"65" "GO:0045169" "fusome" 50 7 0.2 7.7e-10 "7.7e-10" 1.5768e-07 "CC"
"66" "GO:1904813" "ficolin-1-rich granule lumen" 82 8 0.33 8.1e-10 "8.1e-10" 1.5768e-07 "CC"
"67" "GO:0030018" "Z disc" 115 8 0.46 1.2e-08 "1.2e-08" 2.1024e-06 "CC"
"68" "GO:0045121" "membrane raft" 199 8 0.8 8.7e-07 "8.7e-07" 0.000138567272727273 "CC"
"69" "GO:0031983" "vesicle lumen" 167 7 0.68 3.5e-06 "3.5e-06" 0.000511 "CC"
"70" "GO:0030425" "dendrite" 483 10 1.95 1.2e-05 "1.2e-05" 0.00161723076923077 "CC"
"71" "GO:0043025" "neuronal cell body" 543 10 2.2 3.5e-05 "3.5e-05" 0.00438 "CC"
"72" "GO:0016471" "vacuolar proton-transporting V-type ATPa..." 19 3 0.08 5.6e-05 "5.6e-05" 0.0065408 "CC"
"73" "GO:0005615" "extracellular space" 465 9 1.88 6.4e-05 "6.4e-05" 0.007008 "CC"
"74" "GO:0000785" "chromatin" 398 8 1.61 0.00014 "0.00014" 0.0144282352941176 "CC"
"75" "GO:0099568" "cytoplasmic region" 438 8 1.77 0.00027 "0.00027" 0.02628 "CC"
"76" "GO:0055103" "ligase regulator activity" 8 8 0.03 6.2e-21 "6.2e-21" 2.13776e-17 "MF"
"77" "GO:0031432" "titin binding" 9 8 0.03 5.5e-20 "5.5e-20" 9.482e-17 "MF"
"78" "GO:0004198" "calcium-dependent cysteine-type endopept..." 16 8 0.06 7.8e-17 "7.8e-17" 8.9648e-14 "MF"
"79" "GO:0031402" "sodium ion binding" 18 8 0.06 2.6e-16 "2.6e-16" 2.2412e-13 "MF"
"80" "GO:0008307" "structural constituent of muscle" 50 8 0.17 3e-12 "3.0e-12" 2.0688e-09 "MF"
"81" "GO:0004197" "cysteine-type endopeptidase activity" 65 15 0.23 8.2e-12 "1.2e-25" 4.71226666666667e-09 "MF"
"82" "GO:1990782" "protein tyrosine kinase binding" 69 8 0.24 4.5e-11 "4.5e-11" 2.21657142857143e-08 "MF"
"83" "GO:0005509" "calcium ion binding" 190 10 0.66 3.1e-10 "3.1e-10" 1.3361e-07 "MF"
"84" "GO:0046982" "protein heterodimerization activity" 332 9 1.16 9.1e-07 "9.1e-07" 0.000348631111111111 "MF"
"85" "GO:0030226" "apolipoprotein receptor activity" 2 2 0.01 1.2e-05 "1.2e-05" 0.00376145454545455 "MF"
"86" "GO:0016964" "alpha-2 macroglobulin receptor activity" 2 2 0.01 1.2e-05 "1.2e-05" 0.00376145454545455 "MF"
"87" "GO:0005044" "scavenger receptor activity" 6 2 0.02 0.00017 "0.00017" 0.0488466666666667 "MF"
